id,video,emotion,path,emotion_fixed,emotion_fixed_label,transcript
1,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[1]DNKcHgdA-d1.mp4,Surprise,3,tahu nggak rumah tradisional laos kayak gimana kayak gini jadi selama di laos kita ngirim di kuta residence di mana tempat menginapnya itu di rumah tradisional laos atau disebut dengan hongkong ya begitulah pokoknya jadi rumah ini adalah rumah panggung yang terbuat dari kayu hapus atau kayu keras bisa dari berbagai macam dan fondasinya itu ditanam sampai ke bawah rumah yang dipakai di kuta heritage sini itu adalah rumah lama yang usianya sudah lebih dari 100 tahun kemudian dipindah ke sini dan kayunya itu masih bagus hanya saja di treatment ulang biar lebih kuat dan tahan lama meskipun dari luar terlihat dari kayu tapi pas masuk ke dalam ini mewah dan nyaman boy yang kita pilih adalah 2 kamar gimana udah gitu tiap kamar ada kamar mandinya ada 2 buah kapal tiap kamar mandi dan ada bathtub nya cuy terus buat kalian yang hobi masak dia juga dilengkapi dengan dapur besar lengkap dengan kompor rice cooker microwave hingga poster buat kita bikin roti dan di bagian bawahnya kita juga dapat mesin cuci sama kalau kita mau cuci cuci ada settingnya di sini jadi ini cocok banget buat yang bawa keluarga dan mau stay berlama lama di sini nah pertanyaannya berapa biayanya untuk yang tipe 2 kamar yang kita pakai itu semalam nya 80 us dollar untuk yang tipe 1 kamar bukan studio ya satu kamar itu 60 us dollar dan buat teman teman yang pengen cari makanan di depannya persis ada restoran rempah indonesia makanan indonesia yang enak enak banget sebenarnya kalau dilihat lihat mirip enggak sih sama rumah adat dayak kalimantan tapi bedanya apa ya kalau ada yang tahu coba komen di bawah bedanya ini di laos
2,https://www.instagram.com/reel/DNHwrh2gnBm/?igsh=YTg3cGIycGtqbG51,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[2]DNHwrh2gnBm.mp4,Surprise,3,one million journey episode berikutnya akan dimulai sekarang kita di laos dan kita sudah ngambil mobil kita cherry 2338 pro max dan 38 yang cover nah pertanyaannya gimana caranya mobil bisa kita titip di laos jadi kemarin kita dari malaysia singapura thailand kamboja laos terus vietnam mobil kita tinggal di laos selama 2 bulan emang bisa jawabannya enggak jadi untuk masuk ke laos kita itu nggak perlu pakai cd carley karena laos punya permit nya sendiri seperti ini dan kita harus urus ini sebelum masuk ke laos untungnya kita menggunakan agent agent sudah mengurus semua ini dan kita wajib membayar sekitar 100 us dollar per mobil jadi untuk 2 mobil kita membayar 200 us dollar tapi per menitnya hanya berlaku untuk 1 bulan cuma sebulan gimana caranya biar jadi 2 bulan kita coba carilah caranya kita kontak kbri bea cukai agen termasuk juga cherry yang ada di laos ternyata memang tidak bisa diperpanjang jadi 2 bulan akhirnya kita melakukan sesuatu yang legal dan kalian bisa tiru cara hidup sebelum permit nya genap 1 bulan 2 mengingatkan mobilnya ke thailand kemudian sampai thailand mobilnya harus masuk lagi ke laos sehingga dia dapat permit lagi dijual 1 bulan lagi emang sih agak mahal karena gua harus kirim 2 orang ke sini ditambah untuk masuk ke laos tambah lagi 100 dolar untuk per mobil jadi kita ngeluarin 2002 hari lagi tapi itu cara yang menurut gua paling aman dan legal setelah itu mobil kita taruh lagi titip lagi dicari laos setelah itu kita balik ke sini kita mulai perjalanan ke cina memang mahal tapi itulah resiko overland jadi buat teman teman kalau misalkan kalian mau overland ke luar negeri menggunakan mobil dari plat b sebisa mungkin ikuti peraturan dan undang undang yang berlaku jangan melanggar karena nanti urusannya bisa report bahkan kita bisa ngerepotin kak bri dan mencoreng nama indonesia kalau overland pasti ada aja kejadian kejadian yang di luar dari perkiraan kita sebisa mungkin cara yang legal buat temen temen yang pengen tahu dan ikutin keseruan kita pas lagi over landing bisa langsung aja follow akun ini ga
3,https://www.instagram.com/reel/DM7QsjnRCoa/?igsh=NDQ1NW11a2ZiZW1y,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[3]DM7QsjnRCoa.mp4,Surprise,3,saya di rumah gua tuh agak aneh ya biasanya pohon pepaya itu kan lurus ke atas nggak bercabang tapi kita lihat di sini ini pepayanya cabang 3 tuh lihat 123 terus ada batang lagi yang bulat di sini agak aneh tuh ini dia kayak bulat gitu bercabang lagi ya di sini ada percabangan lagi ya bahkan di sebelah sana tuh ada percabangan dia banyak tuh 12345 dan tiap cabangnya itu ada daunnya sama ada pepayanya tuh banyak banget pepaya aja sampai ke atas banyak banget gua seumur hidup baru pertama kali ketemu pepaya yang kayak gini dan uniknya ada di rumah sendiri kenapa bisa kayak gitu ya gue juga nggak ngerti enak buahnya
4,https://www.instagram.com/reel/DNBBEt6Paxj/?igsh=MTB2bXgyMHhwaHI4dA%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[4]DNBBEt6Paxj.mp4,Surprise,3,udah sekitar 2 bulan ini sampah organik di rumah kita olah pakai ini ini namanya kompos it jadi dia adalah alat penggiling sampah organik dan nanti hasilnya jadi kering bekas buah bekas nasi event sampai tulang tulang ya tapi kalau tulang yang gede masih dipecahin dulu terus nanti di sini akan digiling kemudian nanti akan dikeringkan dan hasilnya itu enggak ada bau dan enggak mengundang lalat atau serangga dan macam macam ya bisa dijadikan pupuk kompos atau media tanam secara instan nggak perlu ditunggu lama pembusukan dan kawan kawan apalagi dimasukin jadi biopori ini benar benar instan caranya gampang banget kalau kita punya sampah langsung aja dimasukin ke sini nih kita tunjukin caranya ini pertama ada sampah sisa tulang ayam bau kemudian ada sisa bekas bikin jus pakai slow juicer ya ini ada kulit jeruk sisa bekas matoa bekas anggur wow langsung kita masukin saja sekarang kita langsung tutup aja oh langsung otomatis nyala ok kita pencet aja on off nya dia akan langsung menggiling if you moments later nah sekarang udah jadi hari berikutnya ini dia hasilnya jadi kayak gini jadi dia tuh hasilnya kering nggak berbau dan baunya pun juga bau kayak jerami ya kita bisa langsung pakai ini buat media tanam buat pupuk kompos tanpa bau dan yang paling penting adalah kalau kita sebar di tanah dia tuh nggak bikin lalat apalagi sampai ada belatungnya kalau gua biasanya dijadikan pupuk buat pohon buat tanaman sama buat kandang ayam biar dia ada cakaran cakaran nya di bagian bawah jadi mudah kan buat teman teman yang punya sampah organik di rumah pengen diolah sendiri bisa dapat nilai tambah dari pupuk organik atau media tanamnya bisa langsung beli komposit aja buat temen temen yang pengen coba juga bisa langsung beli komposit aja jadi sampah organik dari rumah kalian itu nggak langsung dibuang kita olah lagi biar bisa lebih bermanfaat dan tentunya saja ramah lingkungan ga
5,https://www.instagram.com/reel/DMz13fQzZsN/?igsh=MWxxcDA3N2VsenpnZw%3D%3D,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[5]DMz13fQzZsN.mp4,Proud,0,jadi ini dia mobil yang akan kita pakai buat root party nanti baic bj40 yang sudah dimodifikasi dan kalau kalian lihat atasnya sudah kita buka pintu sudah diganti bemper juga sudah kita ganti dan yang paling keren menurut gua adalah pemilihan velg sama bannya nah pelek kita pakai black rhino motifnya itu kayak artis di mana dia punya pelindung di bagian sampingnya ini bisa dicopot dan bisa dipasang kalau misalkan kita lagi di jalanan berbatu terus baret baret ini bisa kita ganti enggak harus ganti sama velg nya dan untuk bannya sendiri dia pakai delium terra rider atx ini ya kalau kita lihat kembangnya bagus samping kanan kirinya itu juga ada grip tambahannya kalau misalkan kita lagi offroad kita kempesin jadi enggak cuma lobster keren tapi fungsinya itu juga bisa diandalkan nah bagaimana kalian punya mobil yang mau dipakai offroad nah pakai aja ban delium lokal kualitas international
6,https://www.instagram.com/reel/DMz1mj7s6u7/?igsh=MXQzN3ZoNWZsMGk5cg%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[6]DMz1mj7s6u7.mp4,Surprise,3,bapak ini jualan mie ayam 4000 tapi bisa beli tanah untuk 6 anaknya perjalanan kuliner ke klaten kali ini tidak hanya membuat perut gue kenyang tapi gue juga bisa mendapatkan pelajaran hidup dari bapak suro sang penjual mie ayam dengan harga murah walaupun untuk masjid tapi orang itu kalau nggak punya hutang makanya apapun enak jujur nyanyinya anaknya 6 tas semua di temani ridwan hanif kita penasaran banget dengan harga 4000 apa saja sih isinya dan gimana ya rasanya sebenarnya 4000 nya atau di klaten tuh ya okelah okelah kurang lebih ada toping ayamnya ayamnya juga banyak ayamnya juga banyak sayur enak untuk 4000 untuk harganya 4000 banyak komponen kalau lu makan mie ayam harga 4000 list jangan banyak pahala juga sih sebenarnya masih banyak cerita tentang bapak suro jadi buat yang penasaran tonton saja tiga lengkapnya di youtube channel nex carlos
7,https://www.instagram.com/reel/DMzlY-uxiog/?igsh=bGthOTk2Mm52YTJl,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[7]DMzlY-uxiog.mp4,Proud,0,libur wuling giias 2025 ini ramai sekali karena baru saja kita melakukan pengumuman pemenang dari kompetisi bisnis movie bersama wuling mitra evi yani antusiasmenya luar biasa banget menurut saya minggu lalu kita tuh melakukan pencurian itu lebih kaya investor d jadi kayak ayo invest di tempat kita gitu karena meyakinkan semua alamat ya pak ya dadah kebetulan saya adalah jurinya dan kemarin sekitar beberapa minggu lalu kita sudah melakukan pencurian itu seru banget kayak investor day dibandingkan sebuah kompetisi bisnis rasanya kayak kita pakai chip in ke dalam di sini kita juga bisa lihat wuling mitra ibi yang sudah dimodifikasi sesuai dengan kebutuhan bisnis anda gue berharap dengan rekomendasi ini itu bisa memunculkan usaha usaha baru yang nggak cuma mikir bisnisnya keren doang tapi juga subscribe dan bisa berkembang di jangka panjang jangan lupa buat teman teman yang penasaran dengan wuling mitra evi bisa cek websitenya wulingid
8,https://www.instagram.com/reel/DMuCyqkJwwB/?igsh=eTg2ZWtyYTF4ZWxh,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[8]DMuCyqkJwwB.mp4,Proud,0,sebelumnya peserta top 10 pirate business on the girl competition sudah mempresentasikan proposal ide bisnisnya kini juri akan berdiskusi untuk memilih pemenangnya 10 ide bisnis 3 juli ahli 1 misi mencari 3 terbaik kreativitasnya itu benar benar di luar nalar banyak sekali ide ide yang kalau menurut saya itu bisa sangat mudah diaplikasikan dan bisa dibantu dengan kehadiran wuling mitra ini korelasi yang sangat menarik antara wuling wi fi dengan bisnis bisnis peserta tadi misalkan bagaimana mengandalkan hari ini mobile energi mengandalkan bagaimana sustainable environment overall semua desainnya menarik ya dan mereka tuh punya utility masing masing menjadikan mobil ini unik custom dan memang sudah disesuaikan dengan bisnisnya lihat semua ide bisnis akhirnya kami menemukan pemenangnya siapakah putri move your hazel tunggu pengumumannya di 31 juli pada saat bias 2025 halo wuling
9,https://www.instagram.com/reel/DMrSfkGzVwK/?igsh=MTY5aXFxNW8yejhwcA%3D%3D,Trust,/content/drive/MyDrive/satria_data_2025/df_train_videos/[9]DMrSfkGzVwK.mp4,Trust,1,harga mitsubishi destinator akhirnya diumumkan di giias 2025 dan harganya mulai dari 385 juta saja kalian sudah bisa mendapatkan mesin 1500 cc turbo dan transmisi cvt automatic nah kalau pengen yang lebih tinggi tipe exit itu 45 juta dan tipe ultimate yang tertinggi itu di 465 juta nah ada juga varian yang premium di mana harganya 30 juta lebih mahal dibandingkan dengan si tipe ultimate biasa nah ini kebetulan kita masuk ke dalam yang ultimate premium bedanya apa aja kalau tipe premium kita dapat power back door terus dapat electric seat sama audionya sudah pakai yamaha premium sound tapi kalau kalian beli mitsubishi destinator solar guard sudah dipercaya mitsubishi untuk menjadi kaca film oem dari mitsubishi destinator jadi langsung dapat kaca film solar gard yang bisa bikin adem dan tampilan mobil jadi lebih keren soalnya harganya sendiri merupakan bagian grup dari saint gobain yang krusial sudah lebih dari 3 sedangkan keluarga sendiri di indonesia itu sudah 30 tahun lebih ada di sini keluarga sendiri memberikan garansi 5 tahun udah gitu dia ada banyak ada di 76 kota di indonesia dan ada 167 outlet yang bisa kalian datangi jadi gimana asik kan setiap pembelian destinator udah langsung dapat kaca film solar gard ready to feel comfortable to your next destination
10,https://www.instagram.com/reel/DMozK27xS7J/?igsh=d25seXltcmc2MWpq,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[10]DMozK27xS7J.mp4,Surprise,3,jadi selama kita di thailand overland kita tuh sering banget ketemu mieux yang varian facelift terbaru ini gua nanya nanya kapan yang masuk ke indonesia ya dan akhirnya di gias kali ini nah isuzu launching isuzu mux yang varian facelift apa aja yang beda dari depan kita akan menemukan bentuk depan yang baru lampunya baru grill nya baru bempernya baru dan juga logo isuzu nya sekarang ada di atas grill seperti ini kemudian ke bagian belakangnya dia punya lampu belakang baru yang detailnya cakep sama dia bagian sininya tuh nyambung nih kak aja nah ke bawah kita dapat bemper model baru ya ada di future di bagian sini sama kalau kita lihat ke bagian kaki kakinya yang membedakan new x dengan kompetitornya adalah dia punya multilink suspension bukan cuma 3 atau 4 link tapi 5 link sekaligus jadi pas kita pakai jalan dia lebih nyaman lebih stabil dan ketika dipakai offroad dia juga lebih mantap dari segi mesin dia tetap mempertahankan mesin 1900 cc ruji bandel dan irit tentunya tenaga 150 ps dan torsi 350 nm disambungkan dengan transmisi matic 6 percepatan dan dia juga memiliki penggerak 4wd drive di mana bisa diatur secara elektrik dan shift on play kemudian dari segi interiornya kita akan menemukan kursi yang nyaman untuk perjalanan jauh transmisi automatic dengan tiptronic ada elektronik parting brake dan ada auto hold kemudian untuk mengatur volume drive ada di bagian sini kita bisa atur 2 h 4 h atau tekan untuk jadi 4 l sama ada mode offroad dan dia juga sudah dilengkapi dengan heels untuk ruang kabin tengah dan belakangnya dia juga yang paling rendah di kelasnya udah gitu kita tetap dapat ac di atas plafon enggak cuma di tengah tapi di belakang juga tapi yang paling spesial dari isuzu mio x itu adalah kemampuan offroad ke giias 2025 karena boat isuzu ada di hall 1 langsung aja ke sini dan kalian bisa test drive juga mobil ini di tempatnya nah penasaran kan langsung gas enggak pakai lama ke air susu di giias 2025
